category,device,bitwig_manual_refs,drivenbymoss_manual_surface,drivenbymoss_device_specific_behavior,visual_behavior_family,initial_priority,initial_disposition,verification_state,rationale
Analysis,Oscilloscope,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,analyzer,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Native time-domain display is already the meaningful output; strong full-width/focus candidate.
Analysis,Spectrum,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,analyzer,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Native frequency display is the meaningful output; strong full-width/focus candidate.
Analysis,Tuner,BW-Q61,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,analyzer,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,"Current pitch, cents, frequency, and history are inherently visual and compact."
Audio FX,Blur,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Likely benefits from a native overview plus focused parameter regions; verify device-specific visual value.
Audio FX,Freq Shifter+,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Likely benefits from a native overview plus focused parameter regions; verify device-specific visual value.
Audio FX,Freq Shifter,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Likely benefits from a native overview plus focused parameter regions; verify device-specific visual value.
Audio FX,Pitch Shifter,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Likely benefits from a native overview plus focused parameter regions; verify device-specific visual value.
Audio FX,Ring-Mod,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Likely benefits from a native overview plus focused parameter regions; verify device-specific visual value.
Audio FX,Treemonster,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,device-overview,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Likely benefits from a native overview plus focused parameter regions; verify device-specific visual value.
Clap,v1 Clap,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; generic parameters may already be adequate until a drum-family design exists.
Clap,v8 Clap,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; generic parameters may already be adequate until a drum-family design exists.
Clap,v9 Clap,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; generic parameters may already be adequate until a drum-family design exists.
